Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023
"5207","'005","South America","23082","Total FDI inflows","6184","Value US$, 2015 prices","million USD","12118.671676","10996.810704","23527.022747","15670.403172","26114.161948","28329.826903","49683.335020","76694.028355","80349.000439","119971.979141","94446.830433","77641.694262","67078.648198","40553.749604","66708.529639","61826.916134","61441.783871","83167.207676","97705.564228","57473.117617","83863.759014","101671.601882","115668.968232","119498.154735","119244.858396","125336.211002","96099.704916","82892.499138","108901.683404","99013.258341","70501.968437","79442.658185","128460.187337","133895.930841"
"5207","'005","South America","23085","Total FDI outflows","6110","Value US$","million USD","1108.803000","1414.340180","1930.369310","2603.366010","3122.616400","3701.487400","3084.154500","7698.190840","8575.811490","7092.155020","8019.546528","-183.613939","4097.266901","4962.696680","12878.225097","12012.253721","31408.941202","17202.824871","35302.616302","4336.650283","39105.355921","38903.373845","14172.203561","24317.050653","21401.301985","27050.856908","8424.419930","32702.087364","232.084621","36372.333809","-2702.735117","41361.705862","52108.516274","40789.105698"
"5207","'005","South America","23085","Total FDI outflows","6184","Value US$, 2015 prices","million USD","3265.288994","3711.949023","3485.833592","6777.430078","5857.398328","5286.266358","5461.370634","11345.022526","13453.526561","12527.846111","13865.445676","-893.077241","8752.370106","11149.727421","25446.223892","18466.842456","42814.148918","19852.907521","35448.236519","6115.623199","32528.225718","30459.047920","13289.565291","20006.278677","19211.607624","27050.856908","9122.050868","29307.002310","275.967751","35585.785061","-4905.571446","42462.857357","50784.490847","39798.023364"
"5300","'142","Asia","23082","Total FDI inflows","6110","Value US$","million USD","25048.244940","25792.031080","36650.310430","58434.620720","70808.292950","85157.376550","101614.563970","117093.255730","102111.265200","135576.706790","208696.961897","162309.652923","131732.296892","167027.926534","222527.729415","242881.388194","311929.353675","442758.381688","463390.882315","406108.137152","492078.680569","506582.889161","512258.554359","532842.020497","630493.930992","666134.956562","654106.545808","560021.944120","538553.145948","588936.371487","526526.035803","766784.406873","757093.310527","673600.323704"
"5300","'142","Asia","23082","Total FDI inflows","6184","Value US$, 2015 prices","million USD","42952.558894","46244.407496","68434.498432","114723.854832","152971.042592","159376.856128","178146.750609","200691.623094","189646.876432","217172.466942","306997.069115","283397.050213","239668.706269","285555.246016","336453.538461","374545.741083","423947.835301","527517.619330","504097.380406","467575.293922","529549.503715","494375.190591","481245.906225","494254.508934","586867.517990","661338.109562","659437.745283","546424.442021","507313.550493","560322.888842","503166.815627","682862.892809","664543.936186","592407.067410"
"5300","'142","Asia","23085","Total FDI outflows","6110","Value US$","million USD","62116.303170","40117.141970","34746.861060","45795.101290","58315.336880","68654.191000","79115.701160","79482.900540","56626.787870","67962.652430","135596.975157","80828.114163","73668.910670","60581.919636","129936.292221","137036.012121","218250.895979","321560.057869","362211.651605","302873.414898","353808.767866","434983.515386","435328.154171","540229.769248","608544.183010","563693.584437","572616.805082","619557.832066","544010.748377","676669.329287","502103.060239","745079.960351","699474.380190","667013.494463"
"5300","'142","Asia","23085","Total FDI outflows","6184","Value US$, 2015 prices","million USD","67228.793045","42547.413906","42285.301917","54266.888629","63678.354176","67037.308744","80464.642972","79602.599077","58824.938014","71400.164890","134511.936073","96954.646047","83485.749796","63925.640881","155582.295917","162764.419001","260768.336297","354692.164494","365229.097270","324307.373490","366840.583076","399844.604956","386974.266984","494392.651979","568228.526388","552948.389437","555925.498894","591568.640161","491654.492068","623238.399057","464265.056338","656010.359271","633740.707737","606675.668411"
"5301","'143","Central Asia","23082","Total FDI inflows","6110","Value US$","million USD",,,"118.000010","1417.400000","885.880000","1279.334700","1399.732700","1697.608290","1501.959890","1735.010670","2996.553300","4821.333840","4476.834340","4996.295730","9112.929320","8584.795197","13264.692596","21580.382964","24155.332658","27117.817160","17440.847074","19803.001300","18443.460120","14958.437619","13927.447652","9854.159390","13381.472204","8797.197061","6537.903967","8160.176161","6517.379100","7667.020177","10744.585941","7419.711541"
"5301","'143","Central Asia","23082","Total FDI inflows","6184","Value US$, 2015 prices","million USD",,,"336.810619","4224.375508","2590.355587","3951.421522","3875.684398","4334.099047","3743.528551","5759.724298","10436.520545","15857.119908","14247.725375","13988.907208","20189.321893","15845.607955","19291.957404","26820.651278","24520.647591","31985.726914","18509.083929","17636.863988","15380.758432","11715.844051","11544.985403","9854.159390","16604.569960","10610.353597","7649.358294","10283.496945","8559.316946","9191.530906","11804.328379","7425.037390"
"5301","'143","Central Asia","23085","Total FDI outflows","6110","Value US$","million USD",,,,,"0.040000","0.300000","0.001000","1.360060","30.740310","10.189730","8.842870","-19.510360","426.000010","-121.277270","468.845150","312.408000","1331.471000","3187.431850","5049.670000","5416.057000","7888.463860","4633.953360","1584.441260","2290.933252","3819.302960","799.505260","-5193.974630","1052.292993","-911.438285","-2526.475933","-2122.154210","1504.020794","-1973.805314","965.811105"
